
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      15.45
16                     11.26
32                     17.24
64                     12.20
128                    20.90
256                    19.64
512                    36.53
1024                   36.93
2048                   59.43
4096                   56.51
8192                   51.55
16384                  53.63
32768                  72.90
65536                 107.56
131072                187.17
262144                313.32
524288                610.48
1048576              1173.04
2097152              2950.05
4194304              9604.84
8388608             19258.11
16777216            45397.51
33554432            76971.01
67108864           153924.45
