
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      14.20
16                     10.97
32                     14.35
64                     13.77
128                    20.35
256                    20.65
512                    34.74
1024                   36.46
2048                   58.60
4096                   55.13
8192                   51.56
16384                  53.92
32768                  73.12
65536                 107.81
131072                180.10
262144                313.79
524288                603.92
1048576              1208.30
2097152              2954.62
4194304              9888.26
8388608             21749.69
16777216            43640.79
33554432            78970.36
67108864           157972.37
