
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.47
16                      5.73
32                      5.87
64                      6.13
128                     6.84
256                     8.37
512                    13.76
1024                   18.83
2048                   27.34
4096                   36.53
8192                   67.75
16384                 146.07
32768                 276.78
65536                 581.74
131072               1232.18
262144               2579.85
524288               4794.05
1048576              9532.36
2097152             19211.05
4194304             40950.89
8388608             84068.37
16777216           163677.37
33554432           327546.50
67108864           664264.26
