
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      32.26
16                     29.08
32                     33.20
64                     29.25
128                    28.81
256                    29.49
512                    33.76
1024                   42.73
2048                   66.13
4096                   73.42
8192                   90.13
16384                 133.97
32768                 237.73
65536                 444.79
131072                858.98
262144               1637.58
524288               3314.71
1048576              7565.44
2097152             18481.24
4194304             33311.62
8388608             65191.01
16777216           114800.06
33554432           211392.76
67108864           406351.37
