
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.34
16                     23.31
32                     23.29
64                     23.42
128                    24.66
256                    30.19
512                    31.61
1024                   40.05
2048                   70.88
4096                  126.52
8192                  266.46
16384                 553.67
32768                1069.42
65536                2065.24
131072               4140.86
262144               4262.56
524288               8473.64
1048576             17403.72
2097152             36365.56
4194304             76008.27
8388608            153947.37
16777216           302317.95
33554432           650327.26
67108864          1306125.22
