
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.16
16                     29.30
32                     29.28
64                     29.47
128                    34.47
256                    36.97
512                    37.77
1024                   45.73
2048                   51.12
4096                   82.03
8192                  131.94
16384                 236.08
32768                 418.32
65536                1024.02
131072               2071.45
262144               3957.82
524288               7701.89
1048576             15888.24
2097152             33739.23
4194304             70115.93
8388608            145325.40
16777216           291909.70
33554432           589935.05
67108864          1188031.04
