
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      26.03
16                     24.80
32                     22.13
64                     24.27
128                    19.67
256                    30.08
512                    59.43
1024                   69.86
2048                   67.60
4096                  156.18
8192                  172.81
16384                 215.19
32768                 152.98
65536                 331.24
131072                729.28
262144                892.22
524288                589.52
1048576              1371.43
2097152              3291.41
4194304              7081.01
8388608             14400.09
16777216            28570.43
33554432            55669.19
67108864           111390.84
