
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.09
16                      4.80
32                      5.76
64                      5.60
128                     6.17
256                     9.42
512                     7.93
1024                   10.08
2048                   13.33
4096                   18.02
8192                   30.02
16384                  60.84
32768                 117.88
65536                 229.98
131072                501.92
262144                999.86
524288               2139.00
1048576              4333.41
2097152              8745.30
4194304             17500.54
8388608             34735.97
16777216            68305.87
33554432           133839.73
67108864           261770.12
