
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.26
16                      5.07
32                      5.12
64                      5.73
128                    10.85
256                     6.93
512                     8.23
1024                   10.23
2048                   13.51
4096                   21.98
8192                   33.26
16384                  64.16
32768                 116.78
65536                 226.72
131072                524.43
262144                981.57
524288               2060.59
1048576              4033.34
2097152              8344.02
4194304             17013.70
8388608             35446.39
16777216            69493.91
33554432           136088.74
67108864           269521.02
