
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.11
16                     26.34
32                     30.09
64                     47.51
128                    29.71
256                    27.59
512                    25.95
1024                   26.99
2048                   31.47
4096                   53.98
8192                   57.83
16384                  52.83
32768                  68.18
65536                  89.16
131072                133.83
262144                225.50
524288                485.10
1048576              1317.57
2097152              3356.85
4194304              7538.70
8388608             15836.96
16777216            32617.79
33554432            66621.62
67108864           135670.44
