
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.45
16                      6.13
32                      5.61
64                      5.67
128                     5.73
256                     5.94
512                     6.42
1024                    6.96
2048                    8.17
4096                   13.33
8192                   20.07
16384                  20.04
32768                  37.74
65536                  48.16
131072                 81.45
262144                150.51
524288                427.42
1048576              1207.34
2097152              3101.17
4194304              7298.79
8388608             15390.42
16777216            31619.22
33554432            63856.71
67108864           129611.37
