
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      22.52
16                      8.95
32                      9.06
64                      9.97
128                    10.46
256                    19.10
512                    23.72
1024                   20.76
2048                   21.32
4096                   33.00
8192                   48.01
16384                  81.98
32768                  65.69
65536                  87.96
131072                118.28
262144                170.10
524288                360.48
1048576               664.71
2097152              2045.26
4194304              5221.37
8388608             11622.91
16777216            24303.18
33554432            53490.19
67108864           107914.32
