
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.55
16                      9.12
32                     15.01
64                     10.32
128                    11.02
256                    11.18
512                    18.38
1024                   28.12
2048                   21.67
4096                   31.52
8192                   34.14
16384                  38.32
32768                  52.39
65536                  70.08
131072                 96.58
262144                137.10
524288                284.96
1048576               364.67
2097152              1337.68
4194304              3990.70
8388608              8963.56
16777216            19399.47
33554432            43249.47
67108864            86793.72
