
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.40
16                      9.87
32                     17.71
64                     13.27
128                    11.78
256                    11.73
512                    28.99
1024                   24.56
2048                   25.26
4096                   35.61
8192                   36.66
16384                  53.65
32768                 101.78
65536                  66.45
131072                105.31
262144                136.46
524288                253.87
1048576               617.59
2097152              2105.74
4194304              5177.75
8388608             11386.43
16777216            24788.31
33554432            50428.54
67108864           100471.32
