
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.95
16                      4.20
32                      4.35
64                      4.43
128                     4.63
256                     4.92
512                     8.58
1024                    9.33
2048                   10.32
4096                   11.97
8192                   15.03
16384                  20.53
32768                  30.85
65536                  37.39
131072                 54.37
262144                 94.52
524288                182.21
1048576               461.93
2097152              1573.26
4194304              4374.70
8388608             10364.70
16777216            22410.22
33554432            46821.93
67108864            95258.98
