
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.09              0.76              1.37        1000
16                      1.05              0.52              1.45        1000
32                      1.08              0.50              1.56        1000
64                      1.08              0.46              1.55        1000
128                     1.21              0.50              1.79        1000
256                     1.19              0.66              1.65        1000
512                     1.45              0.77              1.97        1000
1024                    2.18              0.96              2.68        1000
2048                    3.79              1.17              4.65        1000
4096                    6.71              1.60              9.04        1000
8192                   10.91              2.89             15.20        1000
16384                  21.28              7.92             29.87         100
32768                  42.95             23.89             58.75         100
65536                 102.84             92.20            112.68         100
131072                213.38            202.18            222.83         100
262144                437.73            425.89            447.66         100
524288               1069.64           1017.34           1114.34         100
1048576               949.91            876.98           1068.14         100
2097152              1449.22           1309.73           1675.52         100
4194304              2877.26           2610.81           3243.28         100
8388608              9036.23           8912.00           9157.02         100
16777216            17773.59          17528.41          18028.42         100
33554432            35258.56          34762.35          35694.73         100
67108864            69621.74          68775.71          70323.27         100
