
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       5.57              2.70              9.42        1000
16                      5.07              2.37              8.70        1000
32                      5.07              2.35              8.72        1000
64                      5.02              2.36              8.63        1000
128                     5.12              2.32              8.77        1000
256                     5.12              2.28              9.21        1000
512                     5.27              2.33              9.32        1000
1024                    5.69              2.32             10.22        1000
2048                    6.19              2.38             11.11        1000
4096                    7.46              2.57             13.05        1000
8192                    9.48              2.23             16.89        1000
16384                  51.22             45.25             55.21         100
32768                  88.93             78.30             94.69         100
65536                 166.98            151.90            178.45         100
131072                316.10            274.57            338.39         100
262144                639.27            566.55            671.26         100
524288                598.05            561.89            652.33         100
1048576               945.00            891.47           1017.26         100
2097152              1641.15           1552.08           1749.08         100
4194304              4201.64           3929.56           4417.70         100
8388608             11706.69          11034.34          12082.32         100
16777216            23472.30          21940.08          24878.13         100
33554432            44152.23          42680.83          44868.78         100
67108864            86125.27          81828.51          89195.05         100
