
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.17              0.41              5.73        1000
16                      1.19              0.41              5.82        1000
32                      1.21              0.45              5.88        1000
64                      1.23              0.43              5.92        1000
128                     1.30              0.45              6.40        1000
256                     1.51              0.56              6.99        1000
512                     1.98              0.78              9.59        1000
1024                    2.99              1.08             13.19        1000
2048                    5.30              2.79             17.53        1000
4096                   10.79              6.50             27.96        1000
8192                   28.05             17.96             58.30        1000
16384                  41.73             22.43             86.51         100
32768                 109.15             50.29            175.26         100
65536                 211.21            117.20            314.27         100
131072                469.03            368.56            595.81         100
262144               1069.86            976.58           1202.61         100
524288               2316.77           2240.07           2453.31         100
1048576              4486.45           4397.35           4618.86         100
2097152              9130.47           9059.30           9264.56         100
4194304             18769.11          18679.89          18909.59         100
8388608             37251.68          37158.91          37405.21         100
16777216            74452.75          74361.53          74607.02         100
33554432           150486.59         150394.34         150705.91         100
67108864           303124.08         303031.28         303346.88         100
