
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.11              0.88             11.61        1000
16                      2.09              0.85             12.05        1000
32                      2.10              0.89             11.56        1000
64                      2.15              0.86             12.39        1000
128                     2.10              0.88             11.60        1000
256                     2.24              0.87             13.11        1000
512                     2.31              0.93             12.68        1000
1024                    2.50              0.95             13.93        1000
2048                    2.93              1.13             15.42        1000
4096                   26.67             22.81             37.23        1000
8192                   26.67             22.73             36.35        1000
16384                  32.85             28.44             43.69         100
32768                  42.37             38.32             54.56         100
65536                  61.87             56.87             79.05         100
131072                 98.54             92.30            126.35         100
262144                208.37            197.63            257.24         100
524288                385.27            367.08            473.59         100
1048576               719.47            686.23            882.38         100
2097152              2608.72           2535.59           2959.90         100
4194304             10869.40          10608.95          11818.19         100
8388608             26923.35          26571.47          28964.38         100
16777216            53302.01          52456.92          57354.69         100
33554432           103232.67         101565.39         110654.77         100
67108864           200193.30         196735.59         212858.39         100
