
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.22              0.98             17.74        1000
16                     13.22              0.99             17.72        1000
32                     13.14              0.97             17.60        1000
64                     13.24              0.98             17.74        1000
128                    13.91              0.98             19.19        1000
256                    17.45              4.64             21.52        1000
512                    17.86              4.66             22.06        1000
1024                   18.87              4.75             23.50        1000
2048                   21.69              5.00             27.94        1000
4096                   28.85              5.16             38.76        1000
8192                   54.55              7.33             72.91        1000
16384                  61.67              6.15            120.13         100
32768                 141.35              9.84            214.65         100
65536                 283.00             31.78            484.62         100
131072                546.36             57.66            919.49         100
262144               1075.90            104.17           1809.76         100
524288               2125.74            199.80           3642.53         100
1048576              4262.46            387.80           7347.43         100
2097152              8595.75            777.59          14793.80         100
4194304             17261.85           1537.56          29691.54         100
8388608             34581.10           3083.18          59274.76         100
16777216            70506.08           6190.49         120351.92         100
33554432           141566.82          12384.19         240658.93         100
67108864           283338.27          24863.03         482996.02         100
