
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.79              3.52             19.73        1000
16                      8.72              3.50             19.74        1000
32                      8.67              3.52             19.64        1000
64                      8.67              3.47             19.68        1000
128                     9.03              3.55             20.63        1000
256                    12.79              6.27             23.17        1000
512                    13.09              6.32             23.57        1000
1024                   13.76              6.44             24.66        1000
2048                   15.86              6.62             28.23        1000
4096                   22.41              6.93             38.41        1000
8192                   43.51              9.85             70.14        1000
16384                  76.85             11.94            119.33         100
32768                 137.85             18.34            215.41         100
65536                 254.40             30.24            407.77         100
131072                484.89             49.13            788.79         100
262144                943.69             89.29           1536.86         100
524288               1884.99            170.50           3072.85         100
1048576              3814.00            337.83           6200.58         100
2097152              7779.61            674.13          12691.83         100
4194304             15748.64           1340.58          25687.83         100
8388608             31633.69           2667.53          51545.39         100
16777216            63503.33           5370.45         103437.07         100
33554432           128130.32          10861.84         208450.22         100
67108864           258330.48          22846.56         419284.21         100
