
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.23              0.34             26.14        1000
16                      4.21              0.34             26.09        1000
32                      4.21              0.33             26.10        1000
64                      4.28              0.34             26.71        1000
128                     4.33              0.34             27.08        1000
256                     7.95              3.26             30.28        1000
512                     8.17              3.36             30.80        1000
1024                    8.98              3.73             32.51        1000
2048                   12.07              4.92             38.22        1000
4096                   20.08              5.43             51.83        1000
8192                   47.08             14.20             96.22        1000
16384                  90.51             21.67            167.38         100
32768                 159.66             26.71            305.52         100
65536                 285.39             23.51            570.76         100
131072                608.02             40.21           1260.04         100
262144               1305.37             60.54           2569.31         100
524288               2332.32             46.61           4759.87         100
1048576              4686.95            129.06           9584.01         100
2097152              9936.72            241.61          20152.92         100
4194304             21451.83            373.89          42616.91         100
8388608             44538.73            907.36          86549.66         100
16777216            87022.91           8645.79         170534.42         100
33554432           183900.63           5742.74         360771.20         100
67108864           369766.73           3723.34         707773.82         100
