
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.56              0.65             26.83        1000
16                      4.55              0.65             26.75        1000
32                      4.55              0.64             26.82        1000
64                      4.55              0.64             26.81        1000
128                     4.67              0.65             27.83        1000
256                     8.11              3.39             30.69        1000
512                    36.14             29.28             58.48        1000
1024                   37.18             30.05             58.20        1000
2048                   43.57             33.08             63.45        1000
4096                   58.99             46.39             90.41        1000
8192                   83.56             65.90            113.36        1000
16384                 151.05            136.39            194.32         100
32768                 289.81            280.53            326.95         100
65536                 582.95            569.01            634.98         100
131072               1214.66           1203.30           1266.83         100
262144               2447.88           2429.28           2534.38         100
524288               4968.88           4941.02           5100.60         100
1048576             10519.18          10464.00          10736.62         100
2097152             23075.12          23006.19          23389.65         100
4194304             48628.87          48493.36          49250.24         100
8388608            100872.13         100574.92         102118.95         100
16777216           202198.39         201604.82         204710.45         100
33554432           411973.12         410807.85         417066.05         100
67108864           832031.69         829728.83         842163.15         100
