
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      32.56             29.18             33.76        1000
16                     33.12             29.67             34.37        1000
32                     32.88             29.46             34.12        1000
64                     33.10             29.57             34.40        1000
128                    33.20             29.57             34.49        1000
256                    35.81             34.59             37.28        1000
512                    36.21             34.94             37.78        1000
1024                   59.79             55.42             65.67        1000
2048                   67.15             65.85             68.36        1000
4096                  101.97            101.36            102.80        1000
8192                  110.17            109.50            110.75        1000
16384                 109.38            108.17            110.63         100
32768                 113.93            113.13            115.04         100
65536                 127.09            126.12            128.07         100
131072                 97.53             96.24             98.52         100
262144                 99.73             98.54            100.81         100
524288                101.90            100.71            103.01         100
1048576               108.78            107.22            110.10         100
2097152               122.77            121.18            124.17         100
4194304               153.00            151.64            154.26         100
8388608               205.32            203.69            206.83         100
16777216              411.20            409.63            412.74         100
33554432              834.69            832.92            836.36         100
67108864             1665.50           1663.79           1667.14         100
