
# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      44.63             40.00             46.95        1000
16                     42.79             38.68             44.81        1000
32                     42.78             38.54             45.04        1000
64                     42.68             38.54             44.62        1000
128                    43.47             39.46             45.38        1000
256                    49.41             47.37             51.58        1000
512                    50.33             48.14             52.71        1000
1024                   73.60             68.87             80.48        1000
2048                   81.72             80.30             83.47        1000
4096                  127.26            123.41            131.98        1000
8192                  131.49            127.69            135.26        1000
16384                 140.43            135.39            146.20         100
32768                 141.46            138.02            144.26         100
65536                 157.74            153.22            160.36         100
131072                157.39            155.34            159.34         100
262144                163.73            159.60            168.23         100
524288                176.78            173.89            179.97         100
1048576               193.86            191.07            197.65         100
2097152               226.32            222.78            230.61         100
4194304               288.98            285.82            292.34         100
8388608               412.80            409.13            416.08         100
16777216              830.98            827.70            834.59         100
33554432             1672.66           1668.79           1676.80         100
67108864             3349.59           3346.04           3353.92         100
