
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.91              0.26              1.47        1000
16                      0.84              0.26              1.29        1000
32                      0.88              0.28              1.41        1000
64                      0.83              0.31              1.33        1000
128                     0.83              0.26              1.45        1000
256                     1.02              0.31              1.74        1000
512                     1.09              0.35              1.84        1000
1024                    1.52              0.93              2.06        1000
2048                    2.11              1.43              2.58        1000
4096                    2.83              2.26              3.36        1000
8192                    3.68              1.69              4.58        1000
16384                 381.91            357.59            418.96         100
32768                 380.03            357.64            395.44         100
65536                 425.73            372.44            453.39         100
131072                433.31            411.71            458.71         100
262144                560.67            500.90            608.06         100
524288                655.46            599.67            714.16         100
1048576               735.80            686.69            787.03         100
2097152              1291.79           1134.56           1377.99         100
4194304              2554.22           2432.69           2660.58         100
8388608              5730.19           5194.99           6176.55         100
16777216            10203.27           9794.68          10599.91         100
33554432            20498.00          19320.98          21280.42         100
67108864            42115.81          39758.82          43308.49         100
