
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.76              1.36              4.62        1000
16                      2.70              1.32              4.55        1000
32                      2.77              1.36              4.76        1000
64                      2.73              1.33              4.59        1000
128                     2.74              1.34              4.58        1000
256                     2.86              1.38              4.87        1000
512                     3.32              1.60              5.21        1000
1024                    3.52              1.73              5.46        1000
2048                    3.79              1.80              5.91        1000
4096                    4.10              1.93              6.53        1000
8192                    4.79              2.18              7.51        1000
16384                  66.04             63.65             68.24         100
32768                  73.30             67.45             77.42         100
65536                  89.92             84.87             92.43         100
131072                108.81            101.53            113.73         100
262144                139.03            134.64            142.06         100
524288                217.84            209.37            220.54         100
1048576               481.14            471.86            486.55         100
2097152              1203.63           1177.36           1222.28         100
4194304              2644.94           2568.85           2690.20         100
8388608              5496.37           5316.06           5584.16         100
16777216            11460.43          11127.31          11605.88         100
33554432            23677.13          23115.67          23916.94         100
67108864            49448.53          48583.59          49922.42         100
