
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.70              0.66             11.83        1000
16                      1.63              0.63              6.63        1000
32                      1.65              0.61              7.14        1000
64                      1.68              0.66              7.60        1000
128                     1.79              0.63              7.71        1000
256                     1.87              0.68              8.73        1000
512                     2.14              0.71              9.59        1000
1024                    2.52              1.03             10.94        1000
2048                    3.36              1.52             15.79        1000
4096                    4.69              2.13             25.43        1000
8192                    7.10              2.67             28.81        1000
16384                  16.80              4.90             43.91         100
32768                  34.34             10.02             69.28         100
65536                  74.44             47.47            133.24         100
131072                176.53            135.79            261.32         100
262144                430.43            360.31            560.56         100
524288                927.67            882.95           1075.15         100
1048576              1584.96           1557.84           1671.64         100
2097152              3181.30           3151.98           3253.10         100
4194304              6260.36           6235.87           6337.46         100
8388608             12658.88          12605.14          12742.56         100
16777216            26287.33          26264.27          26409.88         100
33554432            52158.47          52131.21          52285.50         100
67108864           104112.53         104090.89         104236.58         100
