
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.05              0.32              5.07        1000
16                      1.03              0.31              4.92        1000
32                      1.06              0.31              5.42        1000
64                      1.05              0.32              5.16        1000
128                     1.05              0.32              5.00        1000
256                     1.09              0.32              5.27        1000
512                     1.23              0.37              5.69        1000
1024                    1.33              0.40              6.10        1000
2048                    1.51              0.42              7.06        1000
4096                    7.48              0.50             13.41        1000
8192                   11.57              0.62             18.35        1000
16384                  12.30              2.30             18.83         100
32768                  18.87              2.88             28.46         100
65536                  30.05              4.63             43.17         100
131072                 52.04              8.97             72.52         100
262144                 95.43             16.95            124.30         100
524288                269.58             96.26            323.05         100
1048576               864.30            472.88            972.55         100
2097152              2273.34           1171.83           2530.41         100
4194304              5131.66           2380.32           5733.48         100
8388608             10563.16           4682.44          11769.29         100
16777216            22246.49           9557.66          24784.65         100
33554432            46019.01          19690.59          51294.90         100
67108864            92983.26          38146.03         103900.40         100
