
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.20              0.85              3.24        1000
16                      2.56              1.05              5.42        1000
32                      2.55              1.05              3.59        1000
64                      2.72              1.20              3.90        1000
128                     3.15              1.68              4.52        1000
256                     3.74              2.26              4.96        1000
512                     5.48              3.43              9.21        1000
1024                    6.02              3.21              9.90        1000
2048                    5.81              3.26             12.14        1000
4096                    5.97              3.34              8.79        1000
8192                    6.70              3.58              9.46        1000
16384                  22.18              5.31             31.24         100
32768                  12.32              5.58             18.49         100
65536                  18.15              7.11             28.18         100
131072                 28.46              7.94             45.40         100
262144                 50.05              9.66             80.80         100
524288                 90.51             14.88            149.56         100
1048576               200.72             30.25            315.26         100
2097152               436.06             72.18            657.59         100
4194304              1025.69            168.78           1442.92         100
8388608              2401.35            495.52           3287.07         100
16777216             5199.84           1131.17           6975.77         100
33554432            10477.45           2186.86          14050.21         100
67108864            21614.90           4122.51          28860.25         100
