
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.76              0.80              3.72        1000
16                      2.26              0.94              4.50        1000
32                      2.27              0.93              4.92        1000
64                      2.39              0.97              4.77        1000
128                     2.48              1.02              4.95        1000
256                     2.84              1.20             19.51        1000
512                     7.58              3.20             11.34        1000
1024                    9.07              3.08             13.58        1000
2048                    9.52              3.07             14.68        1000
4096                   10.53              3.14             16.21        1000
8192                   13.82              3.18             21.78        1000
16384                  20.19              3.47             31.96         100
32768                  34.59              5.17             55.08         100
65536                  60.33              5.10            100.03         100
131072                113.22              6.10            192.32         100
262144                219.87              7.55            372.65         100
524288                433.94             13.21            738.13         100
1048576               838.76             53.34           1431.69         100
2097152              1661.73            151.50           2896.93         100
4194304              3931.89            365.39           6458.88         100
8388608              8427.72            817.63          13173.12         100
16777216            17099.84           1695.06          26625.78         100
33554432            34060.92           3421.78          53085.84         100
67108864            67923.68           7094.83         105778.75         100
