
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.56              0.16              2.30        1000
16                      0.62              0.16              2.68        1000
32                      0.59              0.16              2.56        1000
64                      0.61              0.17              2.67        1000
128                     0.63              0.17              2.81        1000
256                     0.67              0.19              2.97        1000
512                     1.71              0.80              4.99        1000
1024                    1.93              0.84              6.03        1000
2048                    2.08              0.92              6.10        1000
4096                    2.35              0.97              6.86        1000
8192                    3.07              1.12              8.66        1000
16384                   4.32              1.22             12.61         100
32768                   6.75              1.67             20.99         100
65536                  10.08              2.28             34.51         100
131072                 20.11              3.50             61.29         100
262144                 44.38             10.14            136.42         100
524288                 82.14             21.99            282.47         100
1048576               218.47             71.42            686.46         100
2097152               696.16            236.00           1865.19         100
4194304              1752.43            548.99           4621.10         100
8388608              3878.52           1148.27          10917.90         100
16777216             7895.92           2404.35          23105.28         100
33554432            16682.89           5145.39          51001.46         100
67108864            33320.46          10355.32         104109.80         100
