
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.75              0.26              2.97        1000
16                      0.82              0.27              3.22        1000
32                      0.80              0.26              3.23        1000
64                      1.07              0.27              4.33        1000
128                     0.87              0.27              3.53        1000
256                     4.39              0.96              7.28        1000
512                     4.22              0.96              6.88        1000
1024                    6.43              2.53              9.58        1000
2048                    8.43              2.79             12.43        1000
4096                    9.28              3.18             13.89        1000
8192                   11.35              3.73             16.29        1000
16384                  14.39              4.75             20.45         100
32768                  19.06              6.64             26.78         100
65536                  25.56             12.05             34.28         100
131072                 46.39             17.42             58.18         100
262144                 63.53             32.78             79.18         100
524288                121.45             68.30            148.45         100
1048576               321.74            213.96            374.50         100
2097152              1274.94           1025.11           1376.55         100
4194304              3546.76           2924.53           3765.06         100
8388608              8351.92           6485.91           8846.71         100
16777216            17952.01          13648.28          19119.76         100
33554432            37408.30          27629.22          40295.95         100
67108864            77445.97          55277.89          83595.94         100
